时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
414.1,73630.3276280584,102090.211748805,301.113351291351,2612.77811698826,205.998720508528,245.302806476525,0.743085875698363,7.51514032382624,271.166942239576
414.2,73623.3610926856,102035.803428448,301.060840507006,2613.52914314058,205.841101873603,245.107654451628,0.74250139301114,7.50538272258139,271.162060569586
414.3,73616.4041641681,101981.221031527,301.008132361575,2614.27919105476,205.682710025836,244.911511219524,0.741913888484874,7.49557556097622,271.157185258144
414.4,73609.4568861756,101926.466989328,300.955229353766,2615.02825579411,205.523550623214,244.714384523613,0.741323385471891,7.48571922618066,271.152316337338
414.5,73602.5193020072,101871.54373769,300.902133988308,2615.77633246079,205.363629354951,244.516282146119,0.740729907443666,7.47581410730595,271.147453839005
414.6,73595.5914545893,101816.453716819,300.848848775764,2616.52341619592,205.202951941333,244.317211907784,0.740133477989897,7.46586059538921,271.142597794726
414.7,73588.6733864742,101761.199371112,300.79537623234,2617.26950217986,205.041524133557,244.117181667561,0.739534120817579,7.45585908337804,271.137748235831
414.8,73581.7651398382,101705.783148972,300.741718879696,2618.01458563234,204.879351713568,243.916199322301,0.73893185975006,7.44580996611504,271.13290519339
414.9,73574.8667564809,101650.20750263,300.687879244755,2618.75866181266,204.716440493897,243.714272806442,0.738326718726109,7.43571364032211,271.128068698218
415,73567.9782778224,101594.474887963,300.633859859513,2619.5017260199,204.552796317496,243.511410091699,0.737718721798967,7.42557050458494,271.123238780871
415.1,73561.0997449027,101538.587764317,300.579663260852,2620.2437735931,204.388425057569,243.307619186743,0.737107893135396,7.41538095933715,271.118415471645
415.2,73554.2311983799,101482.548594323,300.525291990349,2620.98479991141,204.22333261741,243.102908136891,0.736494257014731,7.40514540684453,271.113598800576
415.3,73547.3726785286,101426.35984372,300.470748594086,2621.72480039431,204.05752493023,242.897285023784,0.735877837827917,7.39486425118918,271.108788797437
415.4,73540.5242252387,101370.023981177,300.416035622463,2622.46377050178,203.891007958985,242.69075796507,0.735258660076545,7.38453789825351,271.103985491738
415.5,73533.6858780135,101313.543478112,300.361155630009,2623.20170573448,203.723787696208,242.483335114085,0.73463674837189,7.37416675570426,271.099188912726
415.6,73526.8576759684,101256.920808514,300.30611117519,2623.93860163391,203.55587016383,242.275024659527,0.734012127433935,7.36375123297637,271.09439908938
415.7,73520.0396578299,101200.158448765,300.250904820226,2624.67445378263,203.387261413011,242.065834825137,0.733384822090393,7.35329174125685,271.089616050413
415.8,73513.2318619334,101143.258877464,300.195539130902,2625.40925780436,203.217967523957,241.855773869371,0.732754857275734,7.34278869346854,271.084839824272
415.9,73506.4343262225,101086.224575248,300.140016676376,2626.14300936425,203.047994605745,241.644850085075,0.732122258030191,7.33224250425374,271.080070439132
416,73499.6470882468,101029.058024615,300.084340028997,2626.87570416896,202.877348796145,241.43307179916,0.731487049498781,7.32165358995799,271.075307922902
416.1,73492.8701851617,100971.76170975,300.028511764114,2627.60733796689,202.706036261433,241.220447372269,0.730849256930298,7.31102236861346,271.070552303215
